group,team_slot,team,is_host_team,host_country_if_host,first_match_id,team_key,group_winner_probability,group_runner_up_probability,best_third_probability,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,third_place_match_probability,champion_probability,runner_up_probability,third_place_probability,fourth_place_probability,group_stage_exit_probability,top_4_probability,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,top2_probability,kaggle_champion_probability,elo_country,elo_year,elo_snapshot_date,elo_rank,elo_rating,elo_rank_avg,elo_rating_avg,elo_matches_total,elo_wins,elo_losses,elo_draws,elo_goals_for,elo_goals_against,elo_confederation,elo_is_host,fc26_players_count,fc26_top23_overall_mean,fc26_top11_overall_mean,fc26_max_overall,fc26_attack_mean,fc26_midfield_mean,fc26_defense_mean,fc26_physical_mean,fc26_goalkeepers_count,fc26_top3_gk_mean,fc25_players_count,fc25_top23_overall_mean,fc25_top11_overall_mean,fc25_total_value_eur_top23,fc25_int_caps_top23,elo_score,elo_rank_score,squad_fc26_score,squad_fc25_score,market_fc25_score,kaggle_prob_score,combined_strength,combined_rank
H,H4,Saudi Arabia,False,,15,saudi arabia,0.0677,0.2073,0.2329,0.5079,0.1424,0.039,0.009,0.0018,0.0072,0.0002,0.0016,0.0014,0.0058,0.4921,0.009,0.0677,0.2073,0.3854,0.3396,0.275,0.0002,Saudi Arabia,2026.0,2026-12-31,71.0,1568.0,76.0,1501.0,835.0,396.0,245.0,194.0,1281.0,892.0,AFC,0.0,270.0,71.30434782608695,73.36363636363636,82.0,55.65217391304348,63.34782608695652,57.43478260869565,71.1304347826087,37.0,67.0,53.0,82.43478260869566,85.63636363636364,699342769.0,1434.0,0.19324324324324324,0.25531914893617025,0.3264121062818933,0.28448275862069056,0.9534680692341561,0.0006875214850464077,0.2630921101175528,38
K,K4,Uzbekistan,False,,24,uzbekistan,0.1026,0.2118,0.2192,0.5336,0.1729,0.0612,0.0164,0.0034,0.013,0.0005,0.0029,0.0038,0.0092,0.4664,0.0163999999999999,0.1026,0.2118,0.3574,0.3282,0.3144,0.0005,Uzbekistan,2026.0,2026-12-31,38.0,1727.0,60.0,1596.0,365.0,180.0,110.0,75.0,635.0,398.0,AFC,0.0,4.0,70.5,70.5,77.0,52.75,58.25,54.25,65.75,,,,,,,,0.4081081081081081,0.6063829787234043,0.287348231567834,,0.0,0.0017188037126160192,0.25677156869281237,39
L,L4,Ghana,False,,23,ghana,0.0551,0.1436,0.1699,0.3686,0.0831,0.0173,0.0043,0.0007,0.0036,0.0001,0.0006,0.0008,0.0028,0.6314,0.0043,0.0551,0.1436,0.285,0.5163,0.1987,0.0001,Ghana,2026.0,2026-12-31,82.0,1503.0,42.0,1651.0,778.0,370.0,213.0,195.0,1247.0,822.0,CAF,0.0,116.0,75.3913043478261,77.9090909090909,83.0,61.82608695652174,66.30434782608695,58.30434782608695,71.8695652173913,4.0,67.66666666666667,47.0,81.52173913043478,86.36363636363636,916825690.0,1391.0,0.10540540540540541,0.13829787234042556,0.5248988210452229,0.10344827586206877,0.9661451311925294,0.00034376074252320387,0.25220618368552916,40
L,L3,Panama,False,,23,panama,0.0989,0.2097,0.2395,0.5481,0.1845,0.0657,0.0203,0.0043,0.016,0.001,0.0033,0.0056,0.0104,0.4518999999999999,0.0203,0.0989,0.2097,0.3598,0.3316,0.3086,0.001,Panama,2026.0,2026-12-31,36.0,1737.0,99.0,1362.0,591.0,196.0,251.0,144.0,736.0,906.0,CONCACAF,0.0,11.0,68.27272727272727,68.27272727272727,76.0,54.63636363636363,62.45454545454545,53.45454545454545,68.27272727272727,2.0,71.0,,,,,,0.42162162162162165,0.6276595744680851,0.17917873082398844,,0.0,0.0034376074252320385,0.24107340742504368,41
I,I4,Iraq,False,,19,iraq,0.0461,0.1253,0.1396,0.311,0.0877,0.0196,0.0044,0.0008,0.0036,0.0001,0.0007,0.0006,0.003,0.6890000000000001,0.0044,0.0461,0.1253,0.2417,0.5869,0.1714,0.0001,Iraq,2026.0,2026-12-31,63.0,1607.0,47.0,1622.0,759.0,359.0,189.0,211.0,1202.0,707.0,AFC,0.0,15.0,65.86666666666666,67.27272727272727,72.0,59.06666666666667,59.8,46.266666666666666,64.86666666666666,,,74.0,82.30434782608695,85.36363636363636,760890992.0,1443.0,0.24594594594594596,0.34042553191489366,0.06232623614288216,0.25862068965517193,0.9574170803707492,0.00034376074252320387,0.2296840040947752,42
B,B4,Qatar,False,,6,qatar,0.0969,0.1959,0.1892,0.482,0.1465,0.0391,0.0081,0.0018,0.0063,0.0005,0.0013,0.0012,0.0051,0.518,0.0081,0.0969,0.1959,0.3168,0.3904,0.2928,0.0005,Qatar,2026.0,2026-12-31,95.0,1425.0,93.0,1416.0,697.0,289.0,232.0,176.0,993.0,825.0,AFC,0.0,,,,,,,,,,,53.0,81.73913043478261,84.9090909090909,950627601.0,1320.0,0.0,0.0,,0.14655172413793122,0.9678401588219225,0.0017188037126160192,0.22191639934203494,43
G,G3,New Zealand,False,,16,new zealand,0.1057,0.163,0.1719,0.4406,0.1129,0.022,0.0029,0.0006,0.0023,0.0,0.0006,0.0007,0.0016,0.5594,0.0029,0.1057,0.163,0.2726,0.4587,0.2687,0.0,New Zealand,2026.0,2026-12-31,68.0,1585.0,66.0,1499.0,439.0,181.0,179.0,79.0,767.0,645.0,OFC,0.0,51.0,68.0,71.0,82.0,58.52173913043478,62.391304347826086,56.869565217391305,72.95652173913044,8.0,66.33333333333333,58.0,81.1304347826087,84.0,653022363.0,1225.0,0.21621621621621623,0.2872340425531915,0.1659334858349465,0.0258620689655186,0.9502596866467329,0.0,0.21357633103758766,44
B,B1,Bosnia and Herzegovina,False,,3,bosnia and herzegovina,0.0755,0.1687,0.1831,0.4273,0.1291,0.0288,0.0065,0.001,0.0055,0.0002,0.0008,0.0011,0.0044,0.5727,0.0065,0.0755,0.1687,0.3194,0.4364,0.2441999999999999,0.0002,Bosnia and Herzegovina,2026.0,2026-12-31,66.0,1594.0,53.0,1626.0,279.0,104.0,111.0,64.0,393.0,385.0,UEFA,0.0,54.0,73.43478260869566,76.27272727272727,81.0,62.56521739130435,65.73913043478261,52.130434782608695,72.26086956521739,6.0,72.33333333333333,,,,,,0.22837837837837838,0.3085106382978723,0.4298785852542673,,0.0,0.0006875214850464077,0.21030015239822097,45
A,A1,South Africa,False,,1,south africa,0.1116,0.1838,0.173,0.4684,0.1426,0.0385,0.0085,0.0013,0.0072,0.0004,0.0009,0.0013,0.0059,0.5316000000000001,0.0085,0.1116,0.1838,0.2784,0.4262,0.2954,0.0004,South Africa,2026.0,2026-12-31,79.0,1524.0,32.0,1707.0,524.0,231.0,141.0,152.0,719.0,542.0,CAF,0.0,14.0,66.28571428571429,68.0909090909091,73.0,52.357142857142854,56.857142857142854,52.642857142857146,63.857142857142854,,,,,,,,0.13378378378378378,0.17021276595744683,0.0826776601895382,,0.0,0.0013750429700928155,0.10355341187384555,46
C,C4,Haiti,False,,8,haiti,0.0439,0.1117,0.1417,0.2973,0.0688,0.0146,0.0021,0.0004,0.0017,0.0,0.0004,0.0004,0.0013,0.7027,0.0021,0.0439,0.1117,0.2551,0.5893,0.1556,0.0,Haiti,2026.0,2026-12-31,77.0,1532.0,81.0,1417.0,561.0,246.0,197.0,118.0,957.0,759.0,CONCACAF,0.0,12.0,65.41666666666667,66.36363636363636,72.0,52.083333333333336,57.833333333333336,50.25,64.83333333333333,1.0,69.0,,,,,,0.1445945945945946,0.19148936170212771,0.040471581910962964,,0.0,0.0,0.09959879775277808,47
E,E1,Curaçao,False,,9,curacao,0.0566,0.1412,0.1651,0.3629,0.0728,0.0155,0.0018,0.0003,0.0015,0.0,0.0003,0.0002,0.0013,0.6371,0.0018,0.0566,0.1412,0.2742,0.528,0.1977999999999999,0.0,Curaçao,2026.0,2026-12-31,90.0,1436.0,97.0,1381.0,498.0,201.0,173.0,124.0,879.0,767.0,CONCACAF,0.0,12.0,64.58333333333333,65.27272727272727,71.0,50.833333333333336,58.833333333333336,53.0,62.75,,,,,,,,0.014864864864864866,0.05319148936170215,0.0,,0.0,0.0,0.04524226170411051,48
