Name,Age,Nationality,Club,League,Position,PlayStyle,Overall,Potential,Value_EUR,Wage_EUR,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Acceleration,SprintSpeed,Finishing,ShotPower,LongShots,Volleys,Penalties,Vision,Crossing,ShortPassing,LongPassing,FKAccuracy,Curve,Agility,Balance,Reactions,BallControl,Composure,Interceptions,HeadingAccuracy,DefAwareness,StandingTackle,SlidingTackle,Jumping,Stamina,Strength,Aggression,WeakFoot,SkillMoves,Height_cm,Weight_kg,PreferredFoot,Form,IntCaps,IntGoals,Appearances,Goals,Assists
Daichi Diaw,21,Ghana,Bayer Leverkusen,Bundesliga,CF,Advanced Forward,74,79,6567214,9545,76,85,75,83,36,71,78,83,88,80,85,76,87,68,67,73,77,65,73,87,87,87,82,88,28,73,37,44,28,73,73,66,70,4,5,184,91,Left,2,20,1,34,25,17
Emmanuel Sánchez,28,Netherlands,Lens,Ligue 1,RB,Attacking Full Back,82,82,22069799,24825,81,52,75,76,84,78,87,75,52,54,59,61,56,78,79,79,70,85,81,77,71,82,83,79,84,86,88,82,87,72,82,83,71,3,2,186,81,Right,2,13,12,2,8,5
Álvaro Kompany,28,Portugal,Real Sociedad,La Liga,CM,Box to Box,79,82,12736603,19239,71,73,81,81,67,78,69,78,76,72,81,83,67,86,72,84,85,78,72,79,87,83,81,86,72,69,72,61,73,75,81,80,81,2,3,171,79,Right,5,82,14,17,6,2
Daley Palacio,33,Japan,Metz,Ligue 1,CB,Aerial Threat,75,73,3707851,5713,70,46,71,66,79,79,67,76,49,49,49,46,46,69,79,71,72,68,63,70,58,70,65,74,79,73,85,80,81,85,86,81,81,4,2,180,58,Left,4,1,13,37,5,4
Memphis Medel,32,Rwanda,NYCFC,MLS,CM,Box to Box,66,67,1372751,1961,70,63,75,74,58,66,76,69,61,65,56,65,64,82,72,81,81,75,80,74,78,73,76,79,59,72,52,52,64,69,62,63,58,4,3,184,74,Right,9,10,13,1,10,5
Álvaro Diallo,30,Netherlands,Lens,Ligue 1,LW,Winger,80,79,11500356,13577,89,81,85,85,36,73,88,96,88,76,86,87,80,83,81,91,82,85,81,85,83,80,87,90,44,69,33,34,40,81,67,78,68,5,4,175,78,Right,1,19,37,24,2,13
Kamil Gueye,28,India,Arsenal,Premier League,GK,Shot Stopper,92,93,176923080,374044,62,26,67,58,22,87,67,61,26,25,20,31,21,70,59,61,72,75,60,56,55,60,56,56,20,79,20,24,24,94,91,90,94,5,3,188,72,Left,2,20,6,37,4,9
James Casemiro,20,Bolivia,Club Brugge,Pro League,CAM,Classic 10,76,90,5623666,11135,76,83,87,88,56,67,69,72,84,78,74,85,89,84,80,88,79,83,91,87,96,89,91,80,51,73,58,60,51,62,61,66,73,5,5,176,79,Left,10,115,28,7,2,2
Virgil Perišić,24,Armenia,Real Madrid,La Liga,CB,Ball Playing Defender,86,94,66716611,76774,77,45,82,71,83,87,72,83,38,46,48,37,37,78,76,79,74,92,72,64,75,68,73,71,90,95,79,84,90,81,91,84,90,5,4,186,85,Right,2,52,11,6,6,5
Tobias Greco,19,Hungary,Almeria,La Liga,GK,Sweeper Keeper,68,84,1485209,4069,52,12,52,50,11,72,46,48,20,20,21,20,20,44,46,56,59,52,42,43,48,46,55,45,20,73,20,20,20,78,67,71,78,3,4,182,71,Left,5,102,14,24,6,19
Juan Brozović,29,Spain,Inter Milan,Serie A,RW,Winger,88,88,101933997,176051,89,85,79,92,41,70,82,86,81,90,77,77,88,72,81,75,86,74,85,86,98,92,90,97,48,66,36,41,35,67,71,69,71,3,5,182,84,Left,6,80,25,30,9,19
Enzo Ferrari,24,Mexico,Liverpool,Premier League,ST,Target Man,87,90,43117764,60558,88,92,71,90,39,87,90,91,89,96,87,86,85,78,74,76,71,76,92,84,88,95,91,87,42,88,43,34,39,86,82,92,80,4,3,186,74,Left,5,74,56,,23,2
Ferland Foden,29,Brazil,Arsenal,Premier League,CF,Complete Forward,83,85,27309801,66285,86,84,78,85,40,75,87,90,85,84,81,78,84,74,70,83,81,80,76,89,84,85,83,88,37,76,40,32,46,72,80,82,81,2,2,188,88,Left,7,14,28,0,29,10
Ricardo Torres,30,Qatar,Lazio,Serie A,RW,Inside Forward,66,65,1232653,1369,84,75,73,80,30,63,84,79,82,68,70,69,76,67,65,79,70,74,75,74,72,82,76,72,28,59,23,24,30,62,66,57,72,4,1,180,86,Left,2,83,30,27,6,12
Antoine Modric,28,Denmark,Anderlecht,Pro League,RB,Attacking Full Back,74,74,6432383,10667,75,49,76,73,78,78,82,75,43,45,41,48,45,75,83,77,80,80,63,77,65,67,77,80,84,82,75,75,83,84,82,71,83,4,4,192,79,Left,1,61,2,29,8,5
Oscar Courtois,21,Nigeria,Almeria,La Liga,RM,Winger,71,76,3676548,8816,75,70,77,85,49,69,70,78,69,66,69,68,63,74,79,82,85,76,85,92,79,79,86,93,45,63,49,44,40,77,72,69,68,3,4,179,80,Right,8,80,8,21,1,11
Axel Robertson,30,UAE,Newcastle,Premier League,RM,Winger,82,83,33026786,41647,79,76,84,86,50,64,80,73,82,81,80,83,75,87,81,80,84,87,92,80,81,80,92,81,55,59,44,58,59,71,61,69,64,4,4,178,75,Right,3,105,8,31,5,16
Achraf Lloris,21,Vietnam,Atalanta,Serie A,CAM,Shadow Striker,68,76,1640172,3727,72,79,83,78,36,61,76,71,80,85,88,74,78,75,86,88,88,73,87,71,73,79,81,78,44,61,31,38,32,61,67,60,66,5,4,185,79,Left,7,36,45,31,4,10
Wissam Pulgar,28,Chile,Wolves,Premier League,CB,Ball Playing Defender,78,80,14740139,17361,67,43,68,66,81,87,61,63,41,39,36,46,46,68,65,64,67,61,64,65,65,65,64,61,86,93,82,89,78,94,92,93,93,4,1,182,75,Left,6,68,6,17,5,11
Ferran Roberts,22,India,Burnley,Premier League,LM,Wide Midfielder,69,74,2598173,3024,74,68,73,74,46,67,67,80,66,65,74,71,72,74,75,78,73,70,64,73,78,76,76,75,42,68,42,43,53,65,66,69,65,3,3,184,72,Left,7,92,10,22,3,5
Éder Esposito,26,Spain,Luton Town,Premier League,GK,Shot Stopper,62,62,529394,1000,45,13,54,46,11,72,39,44,20,20,21,20,20,49,52,60,59,63,44,39,51,49,44,39,20,65,20,20,20,73,75,72,78,4,3,186,62,Right,1,,11,21,2,17
Kylian Rossi,24,Denmark,Real Sociedad,La Liga,RB,Wing Back,75,85,7873164,11947,80,56,76,72,77,75,75,86,50,56,65,50,51,71,84,72,70,71,62,78,74,67,65,68,83,68,79,69,79,83,69,72,80,4,1,174,69,Right,6,45,7,14,,5
Asier Jović,26,UAE,Rennes,Ligue 1,RW,Winger,67,69,1142698,1907,82,74,76,84,28,70,79,81,72,80,80,70,73,75,67,70,75,87,74,81,90,79,83,88,24,68,25,25,30,69,74,73,62,3,3,176,73,Left,9,67,17,24,4,4
Lukas Griezmann,24,Bulgaria,Salernitana,Serie A,CB,Ball Playing Defender,69,71,2317289,5026,63,37,60,55,79,84,56,66,37,42,35,47,44,58,65,65,63,50,53,51,58,52,61,57,82,83,78,76,74,80,87,85,84,4,2,196,86,Right,9,63,9,24,6,14
Luca Jović,22,Colombia,Al Ittihad,Saudi Pro League,LM,Winger,72,74,2152010,2537,78,71,81,79,44,64,85,75,64,64,71,77,75,83,85,75,81,81,87,77,79,83,76,81,48,73,50,50,49,67,62,63,57,5,4,186,81,Right,3,48,7,6,4,11
Lucas Rashford,24,Colombia,AS Roma,Serie A,LB,Defensive Full Back,73,76,5167311,7543,79,42,73,72,74,70,76,75,42,37,38,32,50,69,73,68,76,75,76,76,80,73,68,73,69,68,74,70,71,63,74,74,75,4,4,167,88,Right,1,61,8,6,1,5
Silvan Gudelj,22,Peru,Aston Villa,Premier League,RB,Attacking Full Back,78,86,13855679,16055,81,57,81,72,77,75,75,79,57,51,57,54,62,74,81,78,88,73,71,68,64,74,73,73,81,67,76,77,71,76,72,79,70,3,3,189,74,Right,6,116,10,15,5,19
Exequiel González,21,Croatia,Dynamo Kyiv,Ukrainian PL,CM,Playmaker,67,75,1363875,2258,63,62,80,74,57,64,66,61,59,69,65,63,61,87,72,78,87,81,80,81,67,77,75,77,61,72,53,59,49,67,58,70,71,3,3,181,74,Left,6,2,0,12,8,8
Dani Moreau,24,Tanzania,AS Roma,Serie A,RB,Defensive Full Back,77,86,8325441,13471,84,61,70,73,76,73,81,82,62,66,70,67,54,71,73,64,74,69,69,80,74,77,75,71,68,77,75,81,73,74,75,67,77,4,2,183,74,Right,1,30,13,24,4,3
Park Foden,27,Czech Republic,Al Nassr,Saudi Pro League,CAM,Shadow Striker,70,73,2227051,4093,75,79,80,80,37,60,69,78,72,75,87,84,86,78,88,74,73,82,85,85,88,75,86,84,43,51,41,42,40,65,61,63,67,4,2,194,69,Left,7,23,12,13,2,1
Sven Thomas,20,Czech Republic,Las Palmas,La Liga,CDM,Anchor,62,73,397600,1000,61,52,70,71,75,72,62,63,60,49,58,49,60,71,68,73,72,64,76,66,74,76,72,63,69,73,80,74,77,80,69,74,76,3,4,178,71,Right,1,13,8,19,9,12
Florian Lookman,30,Indonesia,Sheffield United,Premier League,LB,Wing Back,66,64,1350567,3498,72,42,69,63,79,66,75,73,36,48,47,44,36,70,65,69,74,61,62,60,62,63,63,70,71,65,82,73,72,58,67,59,58,2,4,179,78,Right,7,7,15,22,5,1
Ferland Gudelj,24,Chile,Al Ittihad,Saudi Pro League,RW,Winger,68,71,1162883,1712,81,79,80,85,34,60,86,77,85,74,81,82,82,84,78,77,87,74,83,81,86,87,86,79,27,51,39,26,25,57,57,55,51,3,4,183,77,Right,5,17,31,13,7,
Emmanuel Kante,27,Zimbabwe,Manchester City,Premier League,CF,Advanced Forward,92,95,169350270,448016,92,92,83,93,41,83,96,87,99,89,87,84,92,76,83,84,77,77,96,93,88,93,87,98,49,83,46,49,50,77,86,78,86,3,4,180,68,Right,8,69,19,8,9,5
Achraf Silva,31,Tanzania,Lille,Ligue 1,RB,Defensive Full Back,70,70,3085312,4639,72,48,72,72,75,73,69,78,45,55,57,55,51,68,78,66,73,79,76,75,71,70,69,73,79,70,80,76,78,73,73,70,82,3,5,185,76,Right,4,111,6,38,7,16
Richarlison Müller,20,Zambia,Lecce,Serie A,CAM,Enganche,67,73,820892,1945,68,77,79,83,43,61,67,61,85,80,85,72,76,75,77,78,74,69,80,86,85,88,78,80,45,60,45,44,45,67,54,57,54,3,4,172,80,Left,2,44,37,34,2,17
Jordi Medel,20,Portugal,Rennes,Ligue 1,LM,Inside Forward,69,74,2426020,5538,76,67,74,82,47,63,79,73,70,73,61,71,66,72,65,69,79,72,80,88,90,83,81,85,53,70,41,50,56,57,62,62,65,4,4,170,80,Left,4,7,9,11,7,8
André Williams,22,Finland,Brighton,Premier League,CM,Box to Box,80,84,21372263,28649,74,72,86,81,66,75,68,76,76,76,73,64,76,87,86,81,78,84,79,87,73,75,82,83,65,82,70,58,65,72,68,80,80,2,2,195,83,Right,5,120,5,11,2,9
Endrick Jović,25,Uruguay,Lille,Ligue 1,CF,False 9,69,71,2494516,3027,78,80,69,78,30,74,82,80,75,79,86,72,85,71,73,70,62,78,86,79,83,78,78,80,25,78,31,27,21,72,75,81,76,4,3,173,86,Right,2,13,,33,23,14
Erling Sane,29,Uruguay,Celta Vigo,La Liga,LB,Wing Back,80,84,14234089,34632,81,56,75,74,83,74,82,81,54,53,63,47,58,70,74,78,79,76,78,72,80,78,68,78,85,74,76,79,80,69,79,70,74,5,5,170,81,Right,6,,10,34,1,15
Antoine Donnarumma,27,Uganda,Augsburg,Bundesliga,LB,Wing Back,72,76,3930903,5304,73,47,69,67,75,71,77,70,40,42,45,53,53,67,61,66,64,66,71,66,60,65,60,71,72,75,70,72,70,74,76,73,73,3,1,176,69,Right,10,104,0,27,4,20
Mathias Wilson,24,Argentina,Lazio,Serie A,RB,Defensive Full Back,69,71,2271958,3164,75,47,75,69,70,72,73,78,46,47,46,48,40,83,82,72,67,85,71,70,65,72,66,77,65,77,77,63,69,77,72,67,81,4,2,185,72,Right,7,59,8,0,9,0
Facundo Sosa,18,Bosnia,Inter Milan,Serie A,CDM,Defensive Midfielder,80,94,23639884,29961,70,64,76,71,83,81,66,72,70,66,70,54,70,83,68,71,78,85,66,78,72,75,66,71,84,79,77,76,78,79,86,76,75,5,2,178,75,Left,1,34,14,10,8,17
Granit Militão,20,Thailand,Al Ittihad,Saudi Pro League,GK,Aerial Threat,75,90,8243438,21356,53,20,56,44,14,77,60,53,20,20,28,27,20,49,57,61,57,55,34,49,40,45,47,47,20,84,20,20,20,77,78,78,77,2,4,182,78,Right,5,18,6,32,8,8
Son Oliveira,17,Slovakia,Torino,Serie A,CAM,Classic 10,70,77,1709004,1898,75,75,86,82,37,59,80,72,68,74,79,67,71,86,88,80,80,76,85,85,75,88,76,79,37,53,43,32,31,64,52,59,62,5,2,183,72,Right,5,59,44,31,6,17
Antony Ferreira,25,Mexico,Leicester City,Premier League,LB,Attacking Full Back,78,82,10626294,19862,85,52,76,77,80,70,83,89,53,45,54,55,60,80,76,72,80,87,70,81,84,73,82,77,86,65,85,87,77,64,71,76,78,4,3,184,66,Right,7,24,9,2,2,6
Antony Osimhen,33,Russia,Girona,La Liga,LW,Inside Forward,67,66,1022513,2065,79,85,79,81,28,65,73,73,85,78,90,95,79,78,83,83,83,76,90,76,73,82,74,79,36,63,34,29,24,71,59,71,63,3,5,186,79,Right,10,79,27,12,2,2
Kai Mbaye,32,Qatar,Villarreal,La Liga,ST,Target Man,87,85,64726665,98970,87,90,74,88,42,86,82,84,85,87,88,99,90,77,78,72,79,74,84,90,95,83,94,96,35,79,37,35,45,84,82,84,92,4,2,186,59,Right,7,92,3,17,28,18
Jordi Troost,27,Indonesia,Hertha Berlin,Bundesliga,CM,Playmaker,81,85,16922322,20437,75,79,80,87,67,75,82,77,79,86,70,75,76,81,75,76,75,81,85,91,90,84,91,83,68,75,71,63,61,76,74,69,66,3,3,192,80,Right,8,48,14,36,3,16
Michael Budimir,28,Burkina Faso,RB Leipzig,Bundesliga,GK,Shot Stopper,78,80,15919215,40506,57,18,59,49,16,74,55,53,24,20,20,20,20,65,67,56,59,49,39,50,42,50,47,42,20,66,20,20,20,74,81,72,68,3,3,184,75,Left,7,46,9,3,10,7
Pedro Pogba,24,Vietnam,Heidenheim,Bundesliga,RB,Wing Back,61,65,459031,1000,71,42,73,63,70,66,73,77,45,44,38,40,36,79,67,73,77,71,63,70,61,63,68,56,65,74,64,65,76,58,62,61,74,4,4,181,87,Right,6,74,6,6,1,18
Federico Neuer,31,Mozambique,Crystal Palace,Premier League,GK,Shot Stopper,77,75,9740419,12884,59,21,57,46,15,80,65,56,26,22,27,20,25,52,51,58,56,60,36,41,41,45,42,46,20,72,21,20,20,82,83,82,83,3,5,188,78,Right,8,74,2,21,8,2
Jordan Blind,34,Thailand,Valencia,La Liga,LM,Inside Forward,75,73,4251133,9979,85,72,72,85,55,63,91,82,64,77,75,62,66,73,76,77,67,82,79,78,87,90,86,85,56,62,62,61,57,62,65,59,67,5,2,191,79,Left,7,89,3,24,1,18
Nicolò Kramarić,26,Wales,Bayern Munich,Bundesliga,GK,Shot Stopper,81,82,27313805,50301,64,25,63,55,18,82,62,61,33,29,23,31,30,67,56,59,61,72,55,60,63,56,57,47,20,73,20,20,20,75,82,88,77,3,4,180,68,Right,8,44,0,28,6,4
Ryan Fabinho,24,DR Congo,Monaco,Ligue 1,LW,Explosive Winger,88,95,76887331,127296,91,85,85,91,43,69,94,85,82,79,85,81,88,83,83,88,85,78,95,86,99,96,96,87,51,63,48,46,47,72,73,71,72,3,2,180,77,Right,7,95,33,13,7,
John Alderweireld,24,Ukraine,Sevilla,La Liga,GK,Sweeper Keeper,86,92,47558194,57646,61,19,65,59,19,90,62,58,20,24,28,20,20,69,56,65,61,66,55,60,55,56,61,54,20,99,20,26,26,97,87,88,89,3,3,182,79,Left,9,119,4,18,3,1
Marcus Alexis,26,Kenya,Galatasaray,Süper Lig,CF,Complete Forward,72,73,3959699,5135,82,79,71,86,28,73,89,77,85,79,73,87,82,65,65,74,71,62,83,85,87,84,89,92,35,69,30,23,22,81,70,79,73,4,3,189,75,Right,5,118,52,38,9,9
Georginio Valverde,23,Paraguay,Brentford,Premier League,GK,Shot Stopper,74,83,6420505,18292,54,17,56,47,17,84,48,57,25,23,20,20,20,58,49,52,59,47,42,41,54,45,52,48,23,86,20,20,20,86,78,90,91,5,1,180,64,Right,8,83,4,33,4,5
Darwin Robert,23,Peru,Atlanta United,MLS,RB,Attacking Full Back,60,66,303853,1000,70,44,66,63,71,68,75,66,50,46,45,36,49,63,65,65,62,62,54,61,66,65,65,69,68,66,77,74,64,76,73,69,69,3,2,176,65,Right,7,100,3,,3,11
Leander Barella,40,Azerbaijan,Cadiz,La Liga,CF,Advanced Forward,65,66,603681,1000,78,79,73,78,34,71,79,82,85,86,75,87,74,70,80,77,77,75,75,74,81,82,84,77,40,62,40,39,31,67,67,64,62,2,3,181,75,Right,6,71,58,18,26,9
Emmanuel Alexander-Arnold,18,Nigeria,Barcelona,La Liga,RW,Winger,89,99,137513808,164097,96,85,82,91,38,74,99,96,78,81,76,81,90,86,80,84,87,91,82,86,95,95,92,97,33,79,36,46,37,66,72,70,67,2,3,185,83,Left,7,16,22,30,8,6
Niklas Herrera,30,Mexico,Girona,La Liga,RM,Inside Forward,76,77,6573663,12173,81,74,79,76,53,63,82,81,66,80,72,75,68,86,72,82,79,88,84,76,76,75,69,68,60,55,52,53,52,56,68,67,69,4,3,195,72,Right,5,113,0,18,5,17
Robert Amrabat,25,Norway,Granada,La Liga,RW,Winger,70,75,2925697,3760,80,77,83,86,24,69,73,87,85,80,75,86,80,81,77,78,88,91,95,84,81,85,91,82,20,66,21,26,20,74,62,72,75,3,4,189,73,Right,1,101,28,11,5,3
Axel Sánchez,27,Bolivia,Inter Milan,Serie A,CF,False 9,84,87,50016285,67407,86,94,77,88,41,76,87,90,94,87,88,93,94,70,82,80,69,73,84,95,96,91,95,86,43,74,35,47,38,72,82,73,80,3,4,196,66,Right,7,6,45,26,11,17
Romelu Koch,27,Japan,Monaco,Ligue 1,CB,Aerial Threat,83,84,22072957,51094,66,47,76,63,89,87,72,70,52,52,54,54,49,81,67,81,81,83,61,61,67,65,66,63,95,79,91,87,82,90,87,89,96,5,1,189,86,Right,9,72,12,14,10,7
Joakim Perišić,23,Tunisia,Aston Villa,Premier League,CAM,Enganche,77,82,10202233,16779,76,82,86,85,47,66,69,80,79,87,80,73,89,93,80,92,87,94,87,91,87,89,78,81,52,57,53,41,40,74,62,66,70,4,5,181,86,Left,4,0,44,21,8,19
Felipe Jones,29,Morocco,Sheffield United,Premier League,LW,Inside Forward,76,76,9616131,21416,88,83,79,87,30,72,94,91,79,81,86,88,79,73,72,82,81,69,79,80,87,86,91,83,34,74,37,38,25,66,71,70,74,4,3,165,75,Right,5,,41,17,4,7
Maciej Medel,31,Rwanda,Ajax,Eredivisie,CB,Aerial Threat,77,75,12270356,34370,63,46,68,61,87,85,62,68,44,40,45,54,45,71,68,70,62,79,52,65,68,58,56,67,92,78,89,80,85,91,85,85,83,3,4,166,68,Right,5,95,9,28,2,10
Mousa Hazard,30,Switzerland,Atletico Madrid,La Liga,CB,Aerial Threat,83,82,36450518,66637,74,56,80,65,94,87,80,73,63,51,54,64,62,88,88,75,75,84,71,60,60,71,72,58,99,90,99,87,95,90,94,85,95,5,3,174,70,Left,9,40,11,18,0,15
Roberto Gudelj,16,Costa Rica,Rennes,Ligue 1,RW,Winger,80,97,10492174,21111,93,88,78,88,36,67,93,89,95,94,83,84,80,81,83,73,74,69,90,94,93,84,90,92,40,74,39,33,42,66,64,62,74,4,5,168,74,Right,4,16,56,25,7,5
Arkadiusz Goretzka,24,Indonesia,St. Pauli,Bundesliga,LW,Winger,65,73,887206,1369,79,77,78,81,27,64,82,85,76,73,69,75,78,74,72,79,80,72,80,85,84,81,78,84,20,64,24,32,23,64,57,70,64,4,3,184,71,Right,9,67,59,38,3,2
Sadio Casemiro,26,Ireland,Metz,Ligue 1,RW,Inside Forward,63,66,786371,1775,81,74,77,84,24,62,85,88,67,73,77,64,77,85,68,82,79,78,92,91,76,90,79,79,31,54,25,32,31,54,62,67,57,4,4,185,71,Right,8,7,14,,7,4
Daley Tomiyasu,28,Venezuela,Tottenham,Premier League,CDM,Box to Box,87,89,53900281,66956,74,63,85,76,89,83,72,79,63,65,56,62,67,88,78,85,92,91,71,70,72,77,70,78,85,86,83,96,83,91,82,83,75,2,3,179,86,Left,4,35,13,5,0,11
Łukasz Mbaye,28,Australia,Wolfsburg,Bundesliga,RW,Winger,73,76,2933556,7781,81,77,76,86,33,64,77,74,70,74,75,79,73,79,79,79,71,85,86,82,85,80,84,80,40,67,28,34,24,64,71,63,67,4,2,172,78,Left,2,31,42,5,6,17
Yussuf Troost,25,Colombia,Barcelona,La Liga,CB,Bruiser,79,87,19739949,47451,77,46,78,59,80,82,78,71,53,47,48,37,45,84,78,84,76,78,69,53,56,58,53,60,77,85,87,75,87,76,77,79,75,4,4,189,90,Right,10,25,13,27,1,0
James López,22,Philippines,Cadiz,La Liga,CM,Playmaker,62,66,301043,1000,63,62,74,75,56,64,59,63,68,60,66,72,63,69,65,76,75,73,69,68,82,71,80,77,56,55,52,63,59,64,66,61,57,3,3,171,89,Left,1,101,5,32,9,11
Yuki Ndoye,23,Mozambique,Luton Town,Premier League,RB,Wing Back,76,82,9264121,12884,80,47,74,72,79,74,87,78,55,52,51,40,46,72,71,78,72,62,73,71,67,78,79,71,74,67,73,78,85,70,70,78,78,5,4,184,66,Right,5,103,10,4,3,6
Arkadiusz Moreau,26,USA,Hertha Berlin,Bundesliga,LM,Wide Midfielder,67,71,927466,1944,77,70,73,74,42,60,84,73,68,63,63,66,78,67,81,79,78,61,69,67,82,70,75,79,50,54,43,37,41,59,56,65,61,4,3,186,82,Left,2,9,0,35,0,18
Blaise Acuña,30,UAE,Inter Miami,MLS,RW,Winger,65,66,671413,1000,81,74,72,82,27,61,76,88,72,77,76,82,82,76,71,74,72,60,90,77,89,76,89,78,20,67,34,30,26,57,66,67,56,4,3,183,76,Right,10,55,29,31,2,13
Scott Endo,26,Poland,Eintracht Frankfurt,Bundesliga,RW,Explosive Winger,73,73,3518301,4716,82,83,77,82,29,65,76,79,76,88,81,81,83,79,76,76,76,78,86,84,80,86,87,79,34,62,25,29,31,71,58,66,58,4,4,187,75,Right,10,96,57,22,6,16
Rodrigo Dumfries,25,Zimbabwe,Montpellier,Ligue 1,CB,Ball Playing Defender,72,80,4380655,6760,60,44,65,59,86,83,55,55,42,50,45,52,49,57,68,64,73,63,60,54,56,65,61,62,78,83,83,84,90,75,88,87,82,3,3,169,61,Right,9,88,11,3,6,8
Demba Tagliafico,25,Egypt,Sassuolo,Serie A,RM,Inside Forward,78,81,11855787,13834,79,77,79,83,49,74,72,75,82,75,69,81,83,79,83,80,79,73,79,80,75,86,87,89,42,75,47,51,40,69,78,77,71,3,3,200,73,Right,4,101,0,32,7,7
Erling Kramarić,27,Iran,Celtic,Scottish Prem,RB,Wing Back,81,82,25441575,30615,82,56,75,70,77,78,75,76,58,60,63,56,52,79,72,71,73,65,61,70,78,75,73,72,84,84,78,78,81,74,71,76,78,5,3,177,58,Right,4,12,11,,2,3
Ousmane Robertson,28,Slovakia,Inter Milan,Serie A,LB,Attacking Full Back,80,80,17470774,23263,81,62,78,69,73,74,75,87,70,66,57,66,56,81,72,84,76,90,62,71,69,71,64,65,79,78,77,72,72,72,79,76,73,2,2,176,83,Left,2,99,2,28,7,3
Jordi Medel,25,Ivory Coast,PSV,Eredivisie,CAM,Classic 10,75,85,7942246,8913,79,77,86,86,38,70,75,73,69,77,70,71,76,84,90,87,94,77,80,90,81,85,84,86,35,68,38,37,47,76,70,73,61,3,2,181,79,Right,5,42,19,28,4,14
Ruben Okafor,21,Mali,Torino,Serie A,CDM,Defensive Midfielder,76,86,7948738,10282,72,57,80,76,78,86,66,77,49,62,66,62,65,88,81,81,85,90,66,70,80,81,75,80,84,95,74,75,84,84,85,89,78,3,2,182,81,Right,7,31,14,21,8,0
Moussa Kovačić,18,Zambia,Dynamo Kyiv,Ukrainian PL,CF,False 9,81,95,21349162,54462,91,84,81,83,38,81,85,98,82,83,79,82,76,89,78,76,83,90,77,87,87,81,88,87,45,81,44,38,39,86,85,88,78,4,4,188,65,Right,1,63,46,15,22,2
Kingsley Griezmann,31,Ireland,Lazio,Serie A,ST,Pressing Forward,70,69,1374848,2076,81,81,71,72,27,78,76,82,77,77,81,78,87,66,71,67,72,65,78,75,80,66,77,67,26,83,33,24,26,75,79,79,78,3,3,175,78,Right,9,107,0,23,8,
Ritsu Smith,27,Sweden,Al Ittihad,Saudi Pro League,GK,Shot Stopper,73,75,4210890,4726,52,20,55,50,16,82,47,47,20,20,20,20,20,49,53,61,53,57,57,57,42,44,49,51,20,86,20,20,25,81,83,88,84,3,3,186,66,Right,1,62,10,34,0,0
Lautaro Davies,28,Slovakia,PSV,Eredivisie,CM,Playmaker,78,79,14294904,40041,69,68,83,78,68,75,63,71,66,67,67,58,72,83,77,82,78,74,84,73,75,74,75,73,67,71,72,71,60,69,68,70,73,4,3,167,69,Right,10,15,12,0,5,15
Giuliano Bentancur,18,Turkey,Fenerbahce,Süper Lig,LB,Wing Back,77,93,13254311,28021,78,56,74,70,82,67,84,72,49,60,49,65,58,73,69,69,66,72,79,70,78,74,67,67,76,67,89,81,83,62,71,70,67,4,4,189,71,Right,2,36,15,2,1,19
Aaron Trippier,25,Senegal,Hertha Berlin,Bundesliga,ST,Target Man,80,90,22635469,26724,81,92,67,82,38,77,88,74,93,95,99,98,88,59,71,65,70,67,76,85,74,86,75,80,35,83,34,43,40,73,80,81,86,2,2,174,74,Right,6,35,13,27,1,9
Ryan Goretzka,21,Croatia,Crystal Palace,Premier League,RB,Defensive Full Back,77,81,5809159,8644,76,53,77,71,81,71,78,76,49,51,50,50,50,78,86,78,70,79,67,64,75,73,70,79,88,79,87,86,75,68,78,77,63,3,4,172,91,Right,8,107,4,19,0,0
Christoph Becker,22,Iran,Dynamo Kyiv,Ukrainian PL,ST,Poacher,70,74,2413567,3438,73,80,69,76,29,76,74,70,88,74,71,83,72,70,70,73,66,79,80,77,70,74,83,83,22,77,32,34,29,82,79,70,82,3,2,188,74,Right,9,84,43,20,23,5
Noussair Courtois,37,Poland,Lazio,Serie A,LB,Wing Back,78,79,11659156,17375,80,59,78,72,77,76,84,75,52,60,60,53,52,81,81,76,80,85,78,65,70,70,69,65,79,84,82,80,81,79,80,78,78,3,5,184,71,Left,5,104,4,29,10,3
Christoph Neuer,26,Thailand,Hoffenheim,Bundesliga,CB,Bruiser,74,75,6406668,9113,71,51,71,67,80,85,65,66,59,47,44,44,57,72,80,69,71,63,62,73,75,64,62,69,88,90,86,81,75,91,92,92,89,3,4,190,68,Left,5,110,4,1,4,8
Thiago Kouyaté,23,Belgium,Athletic Bilbao,La Liga,ST,Poacher,82,89,15172298,22953,90,86,68,87,42,84,88,84,83,80,80,92,87,72,64,65,63,58,90,94,91,86,93,90,46,82,49,47,40,76,77,91,84,3,4,180,72,Left,4,69,10,,23,18
Asier Pogba,27,Zambia,Las Palmas,La Liga,RW,Winger,70,74,3031635,7753,87,79,82,82,30,64,82,91,87,75,82,73,82,89,87,80,77,91,84,76,87,81,81,86,32,69,29,31,21,68,60,60,67,3,2,173,74,Right,6,91,18,16,7,10
Idrissa Kovačić,28,Ghana,Sporting CP,Primeira Liga,CM,Mezzala,75,78,4243383,10426,72,77,83,83,64,76,70,66,80,76,73,83,75,90,83,84,89,91,82,77,90,88,79,82,63,80,68,57,58,69,76,77,80,4,3,197,80,Right,3,35,13,14,3,5
